contrast,target_domain,seed_count,mean,sample_sd,minimum,maximum,positive_count,tie_count,negative_count,stable_positive_across_frozen_rule
alignment_gain,2,3,-0.07037037037037037,0.243770113657842,-0.21111111111111114,0.21111111111111114,1,0,2,False
alignment_gain,3,3,-0.018518518518518528,0.21353385637629002,-0.21111111111111114,0.21111111111111114,1,0,2,False
multimodal_synergy,2,3,0.07037037037037037,0.12188505682892102,0.0,0.21111111111111114,1,2,0,False
multimodal_synergy,3,3,0.07037037037037037,0.12188505682892102,0.0,0.21111111111111114,1,2,0,False
m5_minus_c2,2,3,0.07037037037037037,0.12188505682892102,0.0,0.21111111111111114,1,2,0,False
m5_minus_c2,3,3,0.07037037037037037,0.12188505682892102,0.0,0.21111111111111114,1,2,0,False
m5_minus_c3,2,3,0.0,0.21111111111111114,-0.21111111111111114,0.21111111111111114,1,1,1,False
m5_minus_c3,3,3,0.07037037037037037,0.12188505682892102,0.0,0.21111111111111114,1,2,0,False
c2_gain,2,3,-0.14074074074074075,0.121885056828921,-0.21111111111111114,0.0,0,1,2,False
c2_gain,3,3,-0.0888888888888889,0.10943175335329007,-0.21111111111111114,0.0,0,1,2,False
c3_gain,2,3,-0.07037037037037037,0.12188505682892102,-0.21111111111111114,0.0,0,2,1,False
c3_gain,3,3,-0.0888888888888889,0.10943175335329007,-0.21111111111111114,0.0,0,1,2,False
