category,path,line,action
linux_home,.claude/del/paper-experiment-infrastructure/design.md,173,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/design.md,271,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/design.md,869,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/requirements.md,66,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/requirements.md,133,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,407,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,433,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,452,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,560,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,672,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,724,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,1116,review_then_remove_or_neutralize
linux_home,.claude/del/paper-experiment-infrastructure/tasks.md,1665,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-complete-publication-pipeline/design.md,606,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-complete-publication-pipeline/execution.md,41,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-complete-publication-pipeline/execution.md,473,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-industrial-contrastive-learning/design.md,1772,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-industrial-contrastive-learning/execution.md,41,review_then_remove_or_neutralize
linux_home,.claude/specs/hse-industrial-contrastive-learning/requirements.md,166,review_then_remove_or_neutralize
personal_prefix,AGENTS_CN.md,43,review_then_remove_or_neutralize
personal_environment,CHANGELOG.md,28,review_then_remove_or_neutralize
personal_prefix,CHANGELOG.md,28,review_then_remove_or_neutralize
personal_environment,KNOWN_LIMITATIONS.md,16,review_then_remove_or_neutralize
personal_prefix,KNOWN_LIMITATIONS.md,16,review_then_remove_or_neutralize
personal_environment,RELEASE_NOTES_v0.2.0.md,10,review_then_remove_or_neutralize
personal_prefix,RELEASE_NOTES_v0.2.0.md,10,review_then_remove_or_neutralize
linux_home,configs/base/data/base_classification.yaml,2,review_then_remove_or_neutralize
linux_home,configs/base/data/base_cross_domain.yaml,2,review_then_remove_or_neutralize
linux_home,configs/base/data/base_cross_system.yaml,2,review_then_remove_or_neutralize
linux_home,configs/base/data/base_cross_system_fewshot.yaml,2,review_then_remove_or_neutralize
linux_home,configs/base/data/base_fewshot.yaml,2,review_then_remove_or_neutralize
linux_home,configs/base/environment/README.md,51,review_then_remove_or_neutralize
linux_home,configs/base/local.yaml,2,review_then_remove_or_neutralize
linux_home,configs/default.yaml,7,review_then_remove_or_neutralize
linux_home,configs/default.yaml,8,review_then_remove_or_neutralize
linux_home,configs/default.yaml,9,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_0_cddg_baseline.yaml,7,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_0_cddg_baseline.yaml,16,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_1_cddg_hse.yaml,5,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_1_cddg_hse.yaml,13,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_1_gfs_hse.yaml,4,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_1_gfs_hse.yaml,12,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_2_cddg_hse_pretrain.yaml,5,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_2_cddg_hse_pretrain.yaml,13,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_3_cddg_hse_prompt.yaml,5,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_3_cddg_hse_prompt.yaml,13,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_4_cddg_ablation.yaml,9,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_4_cddg_ablation.yaml,17,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_4_cddg_ablation_twostage.yaml,12,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_4_cddg_ablation_twostage.yaml,20,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_6_cddg_backbone.yaml,8,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_6_cddg_backbone.yaml,16,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_6_cddg_backbone_twostage.yaml,9,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_6_cddg_backbone_twostage.yaml,17,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_7_cddg_noise.yaml,8,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_7_cddg_noise.yaml,16,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_7_cddg_noise_twostage.yaml,8,review_then_remove_or_neutralize
linux_home,configs/reference/experiment_7_cddg_noise_twostage.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/GFS/GFS_demo.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/GFS/GFS_demo.yaml,9,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/GFS/GFS_demo.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_no_contrast.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_no_contrast.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_no_contrast.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_no_contrast.yaml,17,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_no_momentum.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_prompt_fusion.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_prompt_fusion.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_prompt_fusion.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_prompt_fusion.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/ablation_temperature.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/high_contrast.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/high_contrast.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/high_contrast.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/high_contrast.yaml,17,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_cddg.yaml,12,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_ablation_fusion.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_ablation_fusion.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_ablation_fusion.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_ablation_fusion.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_finetune.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_finetune.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_finetune.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_finetune.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_pretrain.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_pretrain.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_pretrain.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/HSE_Contrastive/hse_prompt_pretrain.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/CWRU_THU_using_ISFM.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/CWRU_THU_using_ISFM.yaml,9,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/CWRU_THU_using_ISFM.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/CWRU_THU_using_ISFM.yaml,21,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/all.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/all.yaml,9,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/all.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Multiple_DG/all.yaml,21,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_Dlinear.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_Dlinear.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_Dlinear.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_PatchTST.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_PatchTST.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_PatchTST.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Optimization_Strategy_Main.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Optimization_Strategy_Main.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1_Optimization_Strategy_Main.yaml,16,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1a_Backbone_Universality.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1a_Backbone_Universality.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table1a_Backbone_Universality.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Finetune.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Finetune.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Finetune.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Pretrain.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Pretrain.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Pretrain.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table3_Noise_Robustness.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table3_Noise_Robustness.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table3_Noise_Robustness.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table4_Ablation_Study.yaml,5,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table4_Ablation_Study.yaml,6,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Paper_Experiments/Table4_Ablation_Study.yaml,15,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Pretraining/Pretraining_demo.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Pretraining/Pretraining_demo.yaml,9,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Pretraining/Pretraining_demo.yaml,10,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Simplified_Prompt/hse_prompt_demo.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Simplified_Prompt/hse_prompt_demo.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Single_DG/CWRU.yaml,7,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Single_DG/CWRU.yaml,8,review_then_remove_or_neutralize
linux_home,configs/v0.0.9/demo/Single_DG/CWRU.yaml,9,review_then_remove_or_neutralize
