benchmark_id,dataset,dataset_name,method,method_label,seed,planned_stages,status,reason
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_001_CWRU,CWRU,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_002_XJTU,XJTU,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_003_FEMTO,FEMTO,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_008_UNSW,UNSW,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_024_JUST,JUST,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,cfm_grid,Conditional Flow Matching,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,cfm_grid,Conditional Flow Matching,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,ddpm_train_distribution,DDPM Epsilon,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,ddpm_train_distribution,DDPM Epsilon,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,rectified_flow_grid,Rectified Flow,0,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
phm_genbench_six_dataset_submission_v1,RM_027_PU,PU,rectified_flow_grid,Rectified Flow,1,train;sample;eval;paperpack,BLOCKED_GPU_PREFLIGHT,GPU 6 failed CUDA preflight: AssertionError: torch cuda unavailable; GPU 7 failed CUDA preflight: AssertionError: torch cuda unavailable
