Id,Dataset_id,Name,Description,TYPE,File,Visiable,Label,Label_Description,RUL_label,RUL_label_description,Domain_id,Domain_description,Sample_rate,Sample_lenth,Channel,Fault_Diagnosis,Anomaly_Detection,Remaining_Life,Digital_Twin_Prediction,Fault_level
1,1,RM_001_CWRU,,,97.mat,1,,,,,,,,,,,,,,
2,1,RM_001_CWRU,,,98.mat,1,,,,,,,,,,,,,,
3,1,RM_001_CWRU,,,99.mat,1,,,,,,,,,,,,,,
4,1,RM_001_CWRU,,,100.mat,1,,,,,,,,,,,,,,
5,1,RM_001_CWRU,,,105.mat,1,,,,,,,,,,,,,,
6,1,RM_001_CWRU,,,106.mat,1,,,,,,,,,,,,,,
7,1,RM_001_CWRU,,,107.mat,1,,,,,,,,,,,,,,
8,1,RM_001_CWRU,,,108.mat,1,,,,,,,,,,,,,,
9,1,RM_001_CWRU,,,109.mat,1,,,,,,,,,,,,,,
10,1,RM_001_CWRU,,,110.mat,1,,,,,,,,,,,,,,
11,1,RM_001_CWRU,,,111.mat,1,,,,,,,,,,,,,,
12,1,RM_001_CWRU,,,112.mat,1,,,,,,,,,,,,,,
13,1,RM_001_CWRU,,,118.mat,1,,,,,,,,,,,,,,
14,1,RM_001_CWRU,,,119.mat,1,,,,,,,,,,,,,,
15,1,RM_001_CWRU,,,120.mat,1,,,,,,,,,,,,,,
16,1,RM_001_CWRU,,,121.mat,1,,,,,,,,,,,,,,
17,1,RM_001_CWRU,,,122.mat,1,,,,,,,,,,,,,,
18,1,RM_001_CWRU,,,123.mat,1,,,,,,,,,,,,,,
19,1,RM_001_CWRU,,,124.mat,1,,,,,,,,,,,,,,
20,1,RM_001_CWRU,,,125.mat,1,,,,,,,,,,,,,,
21,1,RM_001_CWRU,,,130.mat,1,,,,,,,,,,,,,,
22,1,RM_001_CWRU,,,131.mat,1,,,,,,,,,,,,,,
23,1,RM_001_CWRU,,,132.mat,1,,,,,,,,,,,,,,
24,1,RM_001_CWRU,,,133.mat,1,,,,,,,,,,,,,,
25,1,RM_001_CWRU,,,135.mat,1,,,,,,,,,,,,,,
26,1,RM_001_CWRU,,,136.mat,1,,,,,,,,,,,,,,
27,1,RM_001_CWRU,,,137.mat,1,,,,,,,,,,,,,,
28,1,RM_001_CWRU,,,138.mat,1,,,,,,,,,,,,,,
