Id,Name,Dataset_id,Label,Sample_rate,Channel,File,Domain_id
0,TII_tensor_fixture_1,1,0,64,1,tensor_fixture_0,0
1,TII_tensor_fixture_1,1,1,64,1,tensor_fixture_1,0
2,TII_tensor_fixture_1,1,0,64,1,tensor_fixture_2,0
3,TII_tensor_fixture_1,1,1,64,1,tensor_fixture_3,0
4,TII_tensor_fixture_1,1,0,64,1,tensor_fixture_4,1
5,TII_tensor_fixture_1,1,1,64,1,tensor_fixture_5,1
6,TII_tensor_fixture_1,1,0,64,1,tensor_fixture_6,1
7,TII_tensor_fixture_1,1,1,64,1,tensor_fixture_7,1
8,TII_tensor_fixture_2,2,0,16,1,tensor_fixture_8,0
9,TII_tensor_fixture_2,2,1,16,1,tensor_fixture_9,0
10,TII_tensor_fixture_2,2,0,16,1,tensor_fixture_10,0
11,TII_tensor_fixture_2,2,1,16,1,tensor_fixture_11,0
12,TII_tensor_fixture_2,2,0,16,1,tensor_fixture_12,1
13,TII_tensor_fixture_2,2,1,16,1,tensor_fixture_13,1
14,TII_tensor_fixture_2,2,0,16,1,tensor_fixture_14,1
15,TII_tensor_fixture_2,2,1,16,1,tensor_fixture_15,1
