epoch,step,train_loss,val_group_acc,val_group_nll
0,0,0.6855889558792114,,
0,1,0.6750985383987427,,
0,2,0.7201277613639832,,
0,3,0.6793415546417236,,
0,4,0.701586127281189,,
0,5,0.7195407152175903,,
0,6,0.6920198202133179,,
0,7,0.6982885599136353,,
0,8,0.6966235041618347,,
0,9,0.6953645944595337,,
0,9,,0.5,0.6869045495986938
0,10,0.694534182548523,,
0,11,0.6530644297599792,,
0,12,0.6890538334846497,,
0,13,0.686210036277771,,
0,14,0.7009422779083252,,
0,15,0.6859909296035767,,
0,16,0.6681820750236511,,
0,17,0.6757569313049316,,
0,18,0.6776036024093628,,
0,19,0.6842547655105591,,
0,19,,0.5,0.6746500134468079
