epoch,step,train_loss,val_group_acc,val_group_nll
0,0,0.6819440126419067,,
0,1,0.6704558730125427,,
0,2,0.7121556997299194,,
0,3,0.6750061511993408,,
0,4,0.6936062574386597,,
0,5,0.7106719613075256,,
0,6,0.6875324249267578,,
0,7,0.6887147426605225,,
0,8,0.6888430118560791,,
0,9,0.6879920363426208,,
0,9,,0.5,0.6771431565284729
0,10,0.6854714155197144,,
0,11,0.6485126614570618,,
0,12,0.6782042980194092,,
0,13,0.6739242076873779,,
0,14,0.689350962638855,,
0,15,0.6757268309593201,,
0,16,0.6583062410354614,,
0,17,0.6640809774398804,,
0,18,0.6685622334480286,,
0,19,0.6729758977890015,,
0,19,,0.75,0.6602382659912109
